"Country","Suicide Change Boys","Suicide Change (Girls)","Religiosity","Pysch Distress Change Girls","Psych Distress Change Boys","Individualism","GDP per Capita 2014","GINI 2014","Log_GDP per capita 2014","STD_Psych Change Girls","STD_Psych Change Boys","STD_Suicide Change Girls","STD_Suicide Change Boys","STD_Religiosity","STD_Individualism","STD_GINI","STD_LOG_GDP per capita 2014","Belief in God","Looseness Scores","Praying Daily","Going to Services","Religious Importance"
"Slovenia",0.079,3.29,,0.5931166421,0.6148121569,27,33093,25.7,4.519736139308187,1.2741621516870139,1.6661303085841126,3.355474303069681,0.2375790809976328,,-1.5802461029413069,-1.4446913477518035,-0.19069018251441977,,78.5,,,
"Finland",-0.264,0.105,0.13,0.538573312,0.3842470941,63,44976,26.8,4.652980828263366,1.094446523954865,0.8639513803948247,-0.31518263670308894,-0.6528377013249399,-0.6357288612210104,0.3452229947964085,-1.1740912655877658,0.48620999912613877,0.23,72.3,0.18,0.1,0.1
"Austria",-0.094,-0.05,0.14,0.8112158112,0.3336379961,55,52932,30.5,4.723718303826032,1.9927803403968842,0.6878728735419354,-0.4938174328301782,-0.21152326110675523,-0.5593322598725626,-0.0826590269230838,-0.26389098921782195,0.8455654858823124,0.13,68.3,0.08,0.3,0.12
"Belgium",-0.409,-0.16,0.1,0.4232811139,0.3354111636,75,48748,28.1,4.68795680245955,0.7145685495779256,0.6940420545417642,-0.6205905139526287,-1.0292529591580974,-0.8649186652663531,0.9870460273756468,-0.8542911684848122,0.6638924529042152,0.13,126.7,0.11,0.11,0.11
"Germany",-0.15,0.098,0.12,0.4320254735,0.1451293119,67,50845,30.9,4.706248251670263,0.7433804697842724,0.03201594357375392,-0.32325001459269936,-0.35689742964921606,-0.712125462569458,0.5591640056561547,-0.1654909593399905,0.7568153708102744,0.1,74.5,0.09,0.24,0.11
"Denmark",-0.095,0.041,0.08,0.3309260469,0.516318117,74,52048,28.4,4.716404045937779,0.41026646883369067,1.3234511428834927,-0.388941520265242,-0.2141192284021563,-1.0177118679632484,0.9335607746607104,-0.7804911460764391,0.8084081137427759,0.15,40.5,0.1,0.12,0.08
"Sweden",0.179,-0.175,0.1,0.4809658676,0.3732465767,71,49259,28.4,4.6924855910416525,0.9046349005462887,0.8256785252176542,-0.6378777522875083,0.4971758105377414,-0.8649186652663531,0.7731050165159008,-0.7804911460764391,0.6868992822035651,0.14,47.3,0.11,0.11,0.1
"United Kingdom",0.655,1.407,0.11,0.4242367239,0.2568239516,89,44026,33.1,4.643709229251458,0.7177172031475234,0.4206224621457198,1.1853496507644612,1.7328562431486587,-0.7885220639179056,1.7358395653847585,0.375709204988085,0.43910908197536325,0.12,87.4,0.06,0.2,0.1
"Ireland",-0.456,0.201,0.24,0.3726891566,0.3584208774,70,58266,31.9,4.765415204505879,0.5478723587201627,0.7740971475808915,-0.20454431135985943,-1.1512634220419486,0.2046337536119131,0.7196197638009643,0.08050911535458896,1.0573911118442685,0.24,76.8,0.19,0.37,0.23
"Netherlands",0.133,0.593,0.18,0.2253360128,0.3370383217,80,52187,28.6,4.717562331902529,0.06235629859381955,0.6997032415611728,0.2472288504583276,0.37776131494929144,-0.25374585447877246,1.2544722909503296,-0.7312911311375225,0.8142923556294799,0.15,61.7,0.2,0.18,0.2
"Switzerland",-0.231,1.844,0.12,0.2620707839,0.2875140578,68,66930,32.5,4.8256208250035,0.18339424101005078,0.5273990752134453,1.688984527587287,-0.5671707805767041,-0.712125462569458,0.6126492583710912,0.22810916017133698,1.3632434183803361,0.11,,0.08,0.29,0.09
"Iceland",,,,0.3112732007,0.2651620123,60,50450,27.8,4.7028611705729295,0.3455120142545344,0.44963213305715877,,,,0.18476723665159886,-0.9280911908931863,0.7396085625840384,,35.7,,,
"Estonia",0.65,1.995,0.07,0.3840442101,-1.0,60,30494,34.6,4.484214395962196,0.5852862929985289,-3.9521028682815467,1.8630093934917418,1.7198764066716532,-1.0941084693116958,0.18476723665159886,0.7447093170299541,-0.3711452138678941,0.13,55.4,0.09,0.1,0.06
