"Country","STD_REG_INDIVIDUALISM","STD_REG_GINI","STD_REG_RELIGIOSITY","STD_LOG_REG_GDP 2014","STD_SUICIDE GIRLS_REG","Psych Dist Girls","STD_REG_PSYCH DISTRESS GIRLS","STD_Pysch Distress Change Girls","Psych Distress Boys","STD_Pysch Distress Change Boys","Individualism","STD_Individualism","Religiositiy","STD_Religiosity","GINI 2014","STD_GINI 2014","GDP Per Capita 2014","LOG_GDP_2014","STD_LOG_GDP 2014","Suicide Girls","STD_Suicide Change Girls","Boys Suicide","STD_Suicide Change Boys","Suicide Change Girls 5 million+","STD_Suicide_Girls_5mill","Suicide Girls Since 2011-13","Suicide Change Boys 5 million+","STD_Suicide_Boys_5mill","Suicide Boys since 2011-13","Suicide Girls (High Pop)","Suicide Change Boys (High Pop)","Importance of Religion","STD_Suicide_Girls_High Population Size","STD_Suicide_Boys_High Population Size","AC","AD","Individualism Groups","2002 Distress Girls","2006 Psych Distress Girls","Going to Services","Belief in God","Praying Daily","AR","AS","Individualism High or Low","2011-13 Girls Suicide","2017-19 Girls Suicide","Changes in Suic","AX","AY","2011-13 Boys EU Suicide ","2017-19 Boys EU Suicide","BB","BC","Sex_Suicide Countries","2011-13 EU Suicide","2017-19 EU Suicide","BF","Country (2)","Girls Psych Distress 2002-10","Girls Psych Distress 2018","Boys Psych Distress 2002-10","Boys Psych Distress 2018","BL","Country Girls","Sex","Psych Distress 2002-10 Girls","Psych Distress 2018 Girls","BU","Country Boys","BW","Psych Distress 2002-10 Boys","Psych Distress 2018 Boys"
"Finland",0.3452229947964085,-1.1785727891776734,-0.6357288612210104,0.487050109191956,-0.8490478801933428,0.9927397541,1.7948117236827894,1.7948117236827894,0.4597261915,0.9524739929267785,63,0.3452229947964085,0.13,-0.6357288612210104,26.8,-1.1785727891776734,44976,4.652980828263366,0.487050109191956,0.105,-0.31518263670308894,-0.264,-0.6528377013249399,-0.216,-0.8490478801933428,-0.216,-0.094,-0.25260578363179265,-0.094,,,,,,,,,,,0.1,0.23,0.18,,"Belgium",1,4.7,4.11,-0.1242015614,,"Belgium",11.1,8.3,,"Belgium Females",1,4.7,4.1,,"Finland",0.1049059967,0.20905035,0.05908753333,0.08625162,,"Finland",1,0.1049059967,0.20905035,,"Finland",2,0.05908753333,0.07746728
"Slovenia",,,,,,0.9609462157,,1.6954312941747962,0.687779282,1.8749535940875297,27,-1.5802461029413069,,,25.7,-1.4478125138293387,33093,4.519736139308187,-0.18907592404463738,3.29,3.355474303069681,0.079,0.2375790809976328,,,0.596,,,0.064,,,,,,,,"Low Individualism",0.10869565,0.08969839,,0.37,,,"Greece",2,1.1,2.46,1.240121581,,"Bulgaria",7.1,4.3,,"Bulgaria",1,2.4,2.0,,"Slovenia",0.09206286667,0.18053033,0.04589894,0.07746728,,"Slovenia",1,0.09206286667,0.18053033,,"Slovenia",2,0.04589894,0.06039255
"Austria",-0.0826590269230838,-0.15056656778040803,-0.5593322598725626,0.845994612934572,-0.7352258804133154,0.9364679414,1.618916960257547,1.618916960257547,0.5783079758,1.4321398323423344,55,-0.0826590269230838,0.14,-0.5593322598725626,31.0,-0.15056656778040803,52932,4.723718303826032,0.845994612934572,-0.05,-0.4938174328301782,-0.094,-0.21152326110675523,-0.162,-0.7352258804133154,-0.162,0.152,0.8104599247782088,0.152,-0.162,0.152,0.12,-0.8239296781258542,0.7386353318356427,,,"Low Individualism",0.06863197,0.06016598,0.3,0.13,0.08,,"France",1,2.6,2.6,0.01025641026,,"Denmark",6.2,6.0,,"Denmark",1,2.5,3.0,,"Austria",0.06814717,0.13196481,0.03826411,0.06039255,,"Austria",1,0.06814717,0.13196481,,"Austria",2,0.03826411,0.08265802
"Ireland",0.7196197638009643,0.09419681826655996,0.2046337536119131,1.0575779809171315,,0.7587742673,1.0634810276244109,1.0634810276244109,0.2890686357,0.2621605502792973,70,0.7196197638009643,0.24,0.2046337536119131,32.0,0.09419681826655996,58266,4.765415204505879,1.0575779809171315,0.201,-0.20454431135985943,-0.456,-1.1512634220419486,,,-0.021,-0.483,-1.9336324526215918,-0.483,,,,,,,,"High Individualism",0.09338521,0.09087012,0.37,0.24,0.19,,"Italy",1,1.11,1.4,0.2312312312,,"Germany",6.3,6.1,,"Germany",1,2.3,2.5,,"Ireland",0.09899069667,0.17410229,0.06412228,0.08265802,,"Ireland",1,0.09899069667,0.17410229,,"Ireland",2,0.06412228,0.1049949
"Sweden",0.7731050165159008,-0.884856725921312,-0.8649186652663531,0.6875098705579084,-0.03332354843648063,0.7478610015,1.0293682771373844,1.0293682771373844,0.5992930477,1.5170248944750122,71,0.7731050165159008,0.1,-0.8649186652663531,28.0,-0.884856725921312,49259,4.6924855910416525,0.6875098705579084,-0.175,-0.6378777522875083,0.179,0.4971758105377414,0.171,-0.03332354843648063,0.171,-0.003,0.14064210037353309,-0.003,0.171,-0.003,0.1,-0.17845779258027045,0.0682720235615546,,,"High Individualism",0.1503441,0.1440405,0.11,0.14,0.11,,"Hungary",1,2.24,3.6,0.6279761905,,"Ireland",14.0,7.2,,"Ireland",1,4.8,4.7,,"Sweden",0.1387487333,0.2425135,0.06565082,0.1049949,,"Sweden",1,0.1387487333,0.2425135,,"Sweden",2,0.06565082,0.04845222
"Denmark",0.9335607746607104,-0.884856725921312,-1.0177118679632484,0.8088797364555739,0.010940562589085512,0.7097208938,0.9101497039474583,0.9101497039474583,0.2852439796,0.24668973501444091,74,0.9335607746607104,0.08,-1.0177118679632484,28.0,-0.884856725921312,52048,4.716404045937779,0.8088797364555739,0.041,-0.388941520265242,-0.095,-0.2141192284021563,0.192,0.010940562589085512,0.192,-0.022,0.058535399317476075,-0.022,,,,,,,,"High Individualism",0.07656116,0.08855067,0.12,0.15,0.1,,"Austria",2,2.97,2.5,-0.1616161616,,"Greece",2.0,2.1,,"Greece",1,1.1,1.1,,"Denmark",0.07813012667,0.13358071,0.03769885,0.04845222,,"Denmark",1,0.07813012667,0.13358071,,"Denmark",2,0.03769885,0.13924051
"Malta",,,,,,0.6882490293,,0.8430328234826076,0.2364934191,0.049492680995990565,59,0.13128198393666232,,,29.0,-0.640093339874344,37284,4.571522499302599,0.07370457725220719,,,,,,,,,,,,,,,,,,,,,,,,,"Portugal",2,1.22,1.1,-0.09264305177,,"France",5.8,4.3,,"France",1,2.6,2.6,,"Malta",0.16022404,0.27049808,0.11260918,0.13924051,,"Malta",1,0.16022404,0.27049808,,"Malta",2,0.11260918,0.04840319
"Germany",0.5591640056561547,-0.15056656778040803,-0.712125462569458,0.7573459984409032,-0.2209190665924515,0.6647447349,0.7695629616708651,0.7695629616708651,0.5192365356,1.1931946004394713,67,0.5591640056561547,0.12,-0.712125462569458,31.0,-0.15056656778040803,50845,4.706248251670263,0.7573459984409032,0.098,-0.32325001459269936,-0.15,-0.35689742964921606,0.082,-0.2209190665924515,0.082,-0.025,0.04557118336125653,-0.025,0.082,-0.025,0.11,-0.3509712995278889,-0.026876316967670826,,,,,,0.24,0.1,0.09,,"Romania",2,2.62,2.0,-0.2242038217,,"Italy",3.0,3.4,,"Italy",1,1.1,1.4,,"Germany",0.05998999,0.09986802,0.03186020667,0.04840319,,"Germany",1,0.05998999,0.09986802,,"Germany",2,0.03186020667,0.10896605
"United Kingdom",1.7358395653847585,0.33896020431352797,-0.7885220639179056,0.44000305980606896,2.902862482926075,0.6275418403,0.6532739347065495,0.6532739347065495,0.5358410976,1.260360406864747,89,1.7358395653847585,0.11,-0.7885220639179056,33.0,0.33896020431352797,44026,4.643709229251458,0.44000305980606896,1.407,1.1853496507644612,0.655,1.7328562431486587,1.564,2.902862482926075,1.564,0.445,2.076631683168983,0.445,1.564,0.445,0.1,2.521669344251556,2.0058382307021447,,,"High Individualism",0.1352831033,0.1168518067,0.2,0.12,0.06,,"United Kingdom",1,1.22,3.1,1.564383562,,"Latvia",12.1,12.6,,"Latvia",1,1.9,3.1,,"United Kingdom",0.1261107878,0.6275418403,0.07177119444,0.10896605,,"United Kingdom",1,0.1261107878,0.6275418403,,"United Kingdom",2,0.07177119444,0.12692308
"Estonia",0.18476723665159886,0.8284869764074639,-1.0941084693116958,-0.3693245749327214,,0.6445195237,0.7063428774305441,0.7063428774305441,0.3700988965,0.5899296785154069,60,0.18476723665159886,0.07,-1.0941084693116958,35.0,0.8284869764074639,30494,4.484214395962196,-0.3693245749327214,1.995,1.8630093934917418,0.65,1.7198764066716532,,,1.252,,,0.37,,,,,,,,,,,0.1,0.13,0.09,,"Netherlands",1,3.15,4.6,0.4512711864,,"Hungary",8.4,6.6,,"Hungary",1,2.2,3.6,,"Estonia",0.1575540067,0.25910064,0.09263789667,0.12692308,,"Estonia",1,0.1575540067,0.25910064,,"Estonia",2,0.09263789667,0.07599562
"Portugal",-1.5802461029413069,1.073250362454432,1.197789571141732,-0.3729409541358612,-0.5897866584721696,0.6229873683,0.6390375393155246,0.6390375393155246,0.2952365272,0.28710980257159524,27,-1.5802461029413069,0.37,1.197789571141732,36.0,1.073250362454432,30444,4.483501713269356,-0.3729409541358612,0.031,-0.4004663458218284,0.394,1.0553087790489752,-0.093,-0.5897866584721696,-0.093,0.212,1.0697442439025995,0.212,-0.093,0.212,0.36,-0.6901832513911835,0.9981308060062575,,,"Low Individualism",0.1261745,0.09086395,0.36,0.44,0.37,,"Spain",2,1.42,1.6,0.1596244131,,"Austria",7.9,9.1,,"Austria",1,3.0,2.5,,"Portugal",0.1063661267,0.17263088,0.05867316,0.07599562,,"Portugal",1,0.1063661267,0.17263088,,"Portugal",2,0.05867316,0.08812005
"Belgium",0.9870460273756468,-0.884856725921312,-0.8649186652663531,0.6645293534101361,-0.6551289176051481,0.4628080211,0.13834799281805096,0.13834799281805096,0.1117920005,-0.4549272093115598,75,0.9870460273756468,0.1,-0.8649186652663531,28.0,-0.884856725921312,48748,4.68795680245955,0.6645293534101361,-0.16,-0.6205905139526287,-0.409,-1.0292529591580974,-0.124,-0.6551289176051481,-0.124,-0.25,-0.9267450133552082,-0.25,-0.124,-0.25,0.11,-0.750272225721253,-0.999984345107476,,,"High Individualism",0.10042861,0.118998155,0.11,0.13,0.11,,,,,,,,"Portugal",2.2,2.7,,"Portugal",1,1.2,1.1,,"Belgium",0.1088881867,0.4628080211,0.077857935,0.08812005,,"Belgium",1,0.1088881867,0.4628080211,,"Belgium",2,0.077857935,0.10248011
"Latvia",0.7196197638009643,0.8284869764074639,-0.4829356585241152,-0.816206521990628,,0.5686676927,0.469244777530228,0.469244777530228,0.3250304245,0.4076267507877757,70,0.7196197638009643,0.15,-0.4829356585241152,35.0,0.8284869764074639,24897,4.396147019307023,-0.816206521990628,0.957,0.6667325007180727,-0.074,-0.15960391519873346,,,0.633,,,0.039,,,,,,,,"High Individualism",0.1445511,0.17145505,0.16,0.28,0.17,,,,,,,,"Romania",9.1,7.3,,"Romania",1,2.6,2.0,,"Latvia",0.1537050333,0.24111212,0.07734170333,0.10248011,,"Latvia",1,0.1537050333,0.24111212,,"Latvia",2,0.07734170333,0.09642118
"Iceland",,,,,,0.5427496334,0.3882299551835704,0.3882299551835704,0.2453627853,0.08536945590303639,60,0.18476723665159886,,,28.0,-0.884856725921312,50450,4.7028611705729295,0.7401588690735107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slovenia",8.4,9.0,,"Slovenia",1,1.4,2.2,,"Iceland",0.12549324,0.19360465,0.07742417,0.09642118,,"Iceland",1,0.12549324,0.19360465,,"Iceland",2,0.07742417,0.11493582
"Hungary",1.2544722909503296,-0.15056656778040803,-0.3301424558272199,-0.6806950460327269,0.9299478200722686,0.5279340675,0.3419193720700538,0.3419193720700538,0.1799200567,-0.17934777307834096,80,1.2544722909503296,0.17,-0.3301424558272199,31.0,-0.15056656778040803,26476,4.422852372416166,-0.6806950460327269,0.128,-0.2886755379229402,-0.436,-1.0993440761339268,0.628,0.9299478200722686,0.628,-0.206,-0.7366031793306551,-0.206,0.628,-0.206,0.14,0.7073699902855906,-0.8096876640490253,,,"High Individualism",0.15812721,0.14469274,0.17,0.26,0.16,,,,,,,,"Slovakia",6.6,7.5,,"Slovakia",1,1.7,1.0,,"Hungary",0.1419431667,0.2168798,0.09740983667,0.11493582,,"Hungary",1,0.1419431667,0.2168798,,"Hungary",2,0.09740983667,0.07532426
"North Macedonia",,,,,,0.5143592875,,0.2994872448276038,0.07045452995,-0.6221381568253724,22,-1.8476723665159895,,,35.0,0.8284869764074639,14596,4.16423385469261,-1.9930078585064392,,,,,,,,,,,,,,,,,,"Low Individualism",0.13962833,0.12451663,,,,,,,,,,,"Finland",16.9,15.3,,"Finland",1,7.4,5.8,,"North Macedonia",0.1267994667,0.19201995,0.07036661333,0.07532426,,"North Macedonia",1,0.1267994667,0.19201995,,"North Macedonia",2,0.07036661333,0.17695054
"Italy",1.0405312800905835,0.8284869764074639,0.4338235576572561,0.22303481160975475,0.0931453402079941,0.4673639862,0.15258905534984607,0.15258905534984607,0.298547373,0.3005022442455605,76,1.0405312800905835,0.27,0.4338235576572561,35.0,0.8284869764074639,39898,4.600951125994174,0.22303481160975475,0.252,-0.1457677010212688,0.172,0.4790040394699338,0.231,0.0931453402079941,0.231,0.137,0.7456388449971112,0.137,0.231,0.137,0.21,-0.06215655194142656,0.6737614632929891,,,"High Individualism",0.24174844,0.24173554,0.43,0.26,0.21,,,,,,,,"Sweden",9.1,9.1,,"Sweden",1,5.4,6.4,,"Italy",0.2397909267,0.35186057,0.1362680667,0.17695054,,"Italy",1,0.2397909267,0.35186057,,"Italy",2,0.1362680667,0.05442478
"Netherlands",1.2544722909503296,-0.640093339874344,-0.25374585447877246,0.8147572487289778,0.5568645985710682,0.4340557079,0.04847384294474353,0.04847384294474353,0.229122912,0.019678823025227988,80,1.2544722909503296,0.18,-0.25374585447877246,29.0,-0.640093339874344,52187,4.717562331902529,0.8147572487289778,0.593,0.2472288504583276,0.133,0.37776131494929144,0.451,0.5568645985710682,0.451,0.106,0.611675280116176,0.106,0.451,,0.2,0.3642813304010011,,,,"High Individualism",0.08859566,0.07908782,0.18,0.15,0.2,,,,,,,,"Norway",9.7,11.5,,"Norway",1,4.9,6.8,,"Netherlands",0.08152419,0.11691023,0.04427936333,0.05442478,,"Netherlands",1,0.08152419,0.11691023,,"Netherlands",2,0.04427936333,0.06459459
"Switzerland",0.6126492583710912,0.33896020431352797,-0.712125462569458,1.3630804942615649,-0.024892289193515698,0.4073234942,-0.03508586801858426,-0.03508586801858426,0.09745447391,-0.512922809289517,68,0.6126492583710912,0.12,-0.712125462569458,33.0,0.33896020431352797,66930,4.8256208250035,1.3630804942615649,1.844,1.688984527587287,-0.231,-0.5671707805767041,0.175,-0.024892289193515698,0.175,0.044,0.3437481503543057,0.044,,,,,,,,,,,0.29,0.11,0.08,,,,,,,,"Switzerland",10.5,11.0,,"Switzerland",1,2.5,2.9,,"Switzerland",0.1056485667,0.14868171,0.05885856,0.06459459,,"Switzerland",1,0.1056485667,0.14868171,,"Switzerland",2,0.05885856,0.11009174
"France",0.7731050165159008,0.09419681826655996,-0.712125462569458,0.38911409582843115,-0.3726817329658212,0.4052224879,-0.04165320588032425,-0.04165320588032425,0.354698764,0.5276358150326723,71,0.7731050165159008,0.12,-0.712125462569458,32.0,0.09419681826655996,43021,4.633680501110356,0.38911409582843115,-0.054,-0.49842736305281277,-0.19,-0.46073612146525955,0.01,-0.3726817329658212,0.01,-0.258,-0.961316255905127,-0.258,0.01,-0.258,0.11,-0.4905327882945016,-1.0345837416635582,,,"High Individualism",0.11637179,0.15835447,0.22,0.11,0.11,,,,,,,,"United Kingdom",4.7,6.7,,"United Kingdom",1,1.2,3.1,,"France",0.13902148,0.19535611,0.08126658333,0.11009174,,"France",1,0.13902148,0.19535611,,"France",2,0.08126658333,0.13804173
"Poland",0.18476723665159886,0.33896020431352797,1.4269793751870747,-0.6796964437963493,-0.4232692884236111,0.3231896042,-0.2980720766998515,-0.2980720766998515,0.3037242438,0.32144279672995996,60,0.18476723665159886,0.4,1.4269793751870747,33.0,0.33896020431352797,26488,4.423049167744012,-0.6796964437963493,0.205,-0.1999343811372249,-0.322,-0.8034038044582029,-0.014,-0.4232692884236111,-0.014,-0.365,-1.42370662501029,-0.365,-0.014,-0.365,0.29,-0.5370532845500392,-1.4973506706011543,,,,,,0.61,0.45,0.27,,,,,,,,"Croatia",7.2,8.1,,"Croatia",1,2.8,1.5,,"Poland",0.18108002,0.2396032,0.1058826133,0.13804173,,"Poland",1,0.18108002,0.2396032,,"Poland",2,0.1058826133,0.08385222
"Croatia",-1.2593345866516876,0.09419681826655996,1.732565780580865,-0.8815148771562973,,0.2841177159,-0.42020321517490533,-0.42020321517490533,0.2693489091,0.18239383679567936,33,-1.2593345866516876,0.44,1.732565780580865,32.0,0.09419681826655996,24170,4.383276650407651,-0.8815148771562973,-0.823,-1.3846864483543073,1.011,2.6570206003114456,,,-0.479,,,0.127,,,,,,,,"Low Individualism",0.14161718,0.13542926,0.4,0.57,0.4,,,,,,,,"Lithuania",23.3,19.7,,"Lithuania",1,6.6,4.9,,"Croatia",0.1309736467,0.16818558,0.06605923667,0.08385222,,"Croatia",1,0.1309736467,0.16818558,,"Croatia",2,0.06605923667,0.08862629
"Czech Republic",0.0777967312217258,-1.374383498015248,-1.0177118679632484,-0.10461125095785641,2.1904210768955337,0.2242811912,-0.6072405763561843,-0.6072405763561843,-0.06754603467,-1.1803533756216116,58,0.0777967312217258,0.08,-1.0177118679632484,26.0,-1.374383498015248,34386,4.536381658841393,-0.10461125095785641,0.728,0.4028139954722441,-0.414,-1.0422327956351027,1.226,2.1904210768955337,1.226,-0.163,-0.5507827506248419,-0.163,1.226,-0.163,0.07,1.8665056886527347,-0.6237159075600848,,,,,,0.11,0.13,0.09,,,,,,,,"Netherlands",6.1,6.7,,"Netherlands",1,3.1,4.6,,"Czech Republic",0.1498097833,0.1834093,0.09504629,0.08862629,,"Czech Republic",1,0.1498097833,0.1834093,,"Czech Republic",2,0.09504629,0.06100069
"Norway",0.6661345110860277,-1.12962011196828,-0.3301424558272199,1.224051916707029,0.45990511727697087,0.174966985,-0.7613872124223907,-0.7613872124223907,0.1743817111,-0.20175049881635676,69,0.6661345110860277,0.17,-0.3301424558272199,27.0,-1.12962011196828,62838,4.798222353917485,1.224051916707029,-0.154,-0.6136756186186768,0.521,1.384996625564913,0.405,0.45990511727697087,0.405,0.178,0.9228164630654447,0.178,,,,,,,,"High Individualism",0.09752066,0.10288066,0.16,0.19,0.18,,,,,,,,"Poland",14.2,9.0,,"Poland",1,2.9,2.9,,"Norway",0.1068630367,0.12556054,0.05194281333,0.06100069,,"Norway",1,0.1068630367,0.12556054,,"Norway",2,0.05194281333,0.08732694
"Luxembourg",,,,,,0.1632836336,,-0.797907101011602,0.1135672451,-0.44774630714978536,60,0.18476723665159886,,,31.0,-0.15056656778040803,113313,5.054279737792695,2.523368719485732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estonia",12.5,10.5,,"Estonia",1,4.0,9.0,,"Luxembourg",0.15877764,0.18470343,0.078420895,0.08732694,,"Luxembourg",1,0.15877764,0.18470343,,"Luxembourg",2,0.078420895,0.12626532
"Greece",-1.1523640812218146,1.073250362454432,2.1145487873231033,-0.5472307150584399,-0.30944728864358384,0.1289791979,-0.9051361080822761,-0.9051361080822761,0.05337588743,-0.691221629036492,35,-1.1523640812218146,0.49,2.1145487873231033,36.0,1.073250362454432,28129,4.449154293053878,-0.5472307150584399,-0.307,-0.7900054496344489,-0.103,-0.23488696676536497,0.04,-0.30944728864358384,0.04,0.063,0.4258548514103628,0.063,0.04,0.063,0.55,-0.43238216797507967,0.3537170451492308,,,"Low Individualism",0.24626866,0.22286013,0.38,0.59,0.29,,,,,,,,"Czech Republic",11.7,16.0,,"Czech Republic",1,2.2,4.9,,"Greece",0.2263185367,0.25550892,0.1198672967,0.12626532,,"Greece",1,0.2263185367,0.25550892,,"Greece",2,0.1198672967,0.10605565
"Ukraine",-1.68721660837118,-1.863910270109184,0.7394099630510463,-2.3549988219481186,,0.1169891228,-0.9426147554187141,-0.9426147554187141,0.3245156471,0.405544465256817,25,-1.68721660837118,0.31,0.7394099630510463,24.0,-1.863910270109184,12385,4.092896010921856,-2.3549988219481186,,,,,,,,,,,,,0.22,,,,,"Low Individualism",0.21917171,0.1989122,0.35,0.32,0.29,,,,,,,,"Spain",3.1,3.7,,"Spain",1,1.4,1.6,,"Ukraine",0.1926413567,0.2151783,0.08007127,0.10605565,,"Ukraine",1,0.1926413567,0.2151783,,"Ukraine",2,0.08007127,0.08885542
"Russia",-0.9384230703620684,2.052303906642304,-0.3301424558272199,-0.7158497210498208,,0.09395252703,-1.0146226820993325,-1.0146226820993325,0.05756282087,-0.6742853942266513,39,-0.9384230703620684,0.17,-0.3301424558272199,40.0,2.052303906642304,26057,4.415924412971164,-0.7158497210498208,,,,,,,,,,,,,,,,,,"Low Individualism",0.10719323,0.15086207,0.17,0.25,0.17,,,,,,,,,,,,"Belgium Males",2,11.1,8.3,,"Russia",0.1418169767,0.15514104,0.08401904667,0.08885542,,"Russia",1,0.1418169767,0.15514104,,"Russia",2,0.08401904667,0.09169364
"Lithuania",0.18476723665159886,1.4893481187342783,-0.024556050433429667,-0.4159947111853429,,0.02232191999,-1.2385260552939783,-1.2385260552939783,-0.1003615777,-1.3130929450780837,60,0.18476723665159886,0.21,-0.024556050433429667,37.7,1.4893481187342783,29855,4.4750170755177985,-0.4159947111853429,0.248,-0.15037763124390335,-0.024,-0.029805550428679144,,,-0.254,,,-0.153,,,,,,,,,,,0.27,0.34,0.15,,,,,,,,,,,,"Bulgaria",2,7.1,4.3,,"Lithuania",0.1983766033,0.20280475,0.10192277,0.09169364,,"Lithuania",1,0.1983766033,0.20280475,,"Lithuania",2,0.10192277,0.09656085
"Slovakia",-0.2431147850678934,-1.374383498015248,0.586616760354151,-0.6038103930808322,-1.236885805369732,0.01070604973,-1.2748350109384978,-1.2748350109384978,-0.2486323708,-1.912851456496618,52,-0.2431147850678934,0.29,0.586616760354151,26.0,-1.374383498015248,27416,4.438004091421811,-0.6038103930808322,0.279,-0.11465067201848546,-0.072,-0.1544119806079313,-0.4,-1.236885805369732,-0.4,0.135,0.7369960343596316,0.135,,,,,,,,"Low Individualism",,0.17545639,0.31,,0.31,,,,,,,,,,,,"Denmark",2,6.2,6.0,,"Slovakia",0.173851705,0.17571297,0.128513455,0.09656085,,"Slovakia",1,0.173851705,0.17571297,,"Slovakia",2,0.128513455,0.12409091
