"Country","Individualism","STD_Individualism","STD_Psych Distress Girl","STD_Pysch Distress Boys","STD_Suicide Change Girls","STD_Suicide Change Boys","STD_Religiosity","STD_Looseness","STD_Gender Equality","STD_Per Capita GDP 2018","STD_Changes in Per Capita GDP","STD_Indulgence","STD_Change In Social Media Use","Psych Distress Relative Change (Girls)","Psych Distress Relative Change (Boys)","Suicide Rate Change Girls","Suicide Rate Change Boys","Religiosity","Looseness","Looseness Domain General","Belief in God","Praying Daily","Going to services","Importance of Religion","Median Net Income 2022","Gender Equality Index","Change in Social Media Use","GDP Per Capita 2022","HBSC 2006 Girls","HBSC 2018 Girls","Girls Distress Abolute Increa","Indulgence","Uncertainty Avoidance","Masculinity","Power Distance","GDP Change","GINI Index 2018","Change in GINI Index","GDP Per Capita 2018","LOG_GDP per capita 2018","Psych Distress Girls 2002-2010","GDP per capita 2002-2010","Psych Distress Girls 2014-2018","Per Capita GDP 2014-2018","Psych Distress Boys 2002-2010","Psych Distress 2014-18 Boys","AW","AW (2)"
"United Kingdom",89,1.7358395653847585,0.46587643795739225,0.5872231239519885,1.6734984203196925,1.8622647917097208,-0.7885220639179056,1.0450403315253243,,0.12332056891855543,-0.6042376825259784,1.2979873490317562,-0.32862285443387895,0.279297,0.19,1.407,0.655,0.11,89.3,87.4,0.12,0.06,0.2,0.1,,,0.05,54929,0.2357696667,0.3499593333,0.07,69,35,66,35,0.08,33,-0.04,46412,4.666630283571988,0.2457171111,41815,0.3133673333,45219,0.18,0.21,,
"Hungary",80,1.2544722909503296,-0.045523472955746956,-0.49572321595509206,-0.1431481501943627,-0.9755918213455517,-0.3301424558272199,-1.15637080086362,-1.35087976548927,-0.645734083561268,0.17419464721469644,-0.6320634047458985,0.306714664138287,0.181791,0.008116302,0.278,-0.306,0.17,42.8,61.1,0.26,0.16,0.17,0.14,6975.0,57.3,0.13,41741,0.271508,0.322762,0.05,31,82,88,46,0.21,30,0.05,31117,4.492997719864907,0.2589993333,23717,0.306083,28797,0.24,0.25,,
"Netherlands",80,1.2544722909503296,0.7036391619069473,1.128811064354324,0.1834942358236649,0.11702727004929825,-0.25374585447877246,0.5526817126684425,1.2783835724811536,0.6084359194988325,-0.6641170925060302,1.2471965397218179,-0.6462916137199619,0.32463,0.280961125,0.481,0.064,0.18,78.9,61.7,0.15,0.2,0.18,0.2,29537.0,77.9,0.01,70869,0.16982,0.222965,0.06,68,53,14,38,0.07,28,-0.02,56060,4.7486530934242674,0.1819623333,50362,0.2410335,54124,0.2,0.25,,
"Italy",76,1.0405312800905835,0.02891603779836228,-0.19884680685761977,0.03867741443636204,0.35326923575629277,0.4338235576572561,0.027183571388500485,0.04033238906789612,-0.09625848746453639,-1.5024288322267572,-0.6828542140558368,-0.16978847479083742,0.195984,0.057977479,0.391,0.144,0.27,67.8,84.6,0.26,0.21,0.43,0.21,18592.0,68.2,0.07,52804,0.406508,0.506359,0.08,30,75,70,50,-0.07,35,0.02,42045,4.6237143568159675,0.4031556667,43832,0.482168,40972,0.19,0.21,,
"Belgium",75,0.9870460273756468,0.7812989826450646,0.2597498575194497,-0.6741431619478067,-1.155726320197135,-0.8649186652663531,2.488976665672911,1.0358787015032984,0.3596936268660971,-0.6042376825259784,0.6884976373124968,0.5449662336028492,0.339437,0.135,-0.052,-0.367,0.1,119.8,126.7,0.13,0.11,0.11,0.11,27314.0,76.0,0.16,65478,0.2317405,0.3162125,0.07,57,94,54,65,0.08,28,-0.02,51113,4.7085313719591415,0.2221715,46358,0.294354,49931,0.13,0.16,,
"Denmark",74,0.9335607746607104,0.8546265948379205,0.7843814941645217,-0.3233646390318952,0.19380590890407146,-1.0177118679632484,-0.08170343085869447,1.2656201582191602,0.6143691296323807,-0.7239965024860823,1.3487781583416945,-0.2492056646123582,0.353418,0.223113269,0.166,0.09,0.08,65.5,40.5,0.15,0.1,0.12,0.08,33260.0,77.8,0.06,74897,0.194051,0.248609,0.07,70,23,16,18,0.06,28,0.07,56178,4.749566273768639,0.186794,51117,0.2528105,54113,0.15,0.19,,
"France",71,0.7731050165159008,0.18737207238605708,0.6909047087239265,-0.5969075238745785,-0.7541149784952442,-0.712125462569458,1.5326647328931977,0.9975884587173217,0.06464212632660028,-0.7239965024860823,0.23138035352305225,-1.3610463221136486,0.226196,0.207413596,-0.004,-0.231,0.12,99.6,101.3,0.11,0.11,0.22,0.11,23053.0,75.7,-0.08,55388,0.307692,0.363027,0.07,48,86,43,68,0.06,32,0.02,45245,4.6555705925491955,0.2894573333,41629,0.354931,44133,0.14,0.15,,
"Sweden",71,0.7731050165159008,0.8405495394680881,0.8580916419537449,-0.2123384093016297,-0.04834210594559796,-0.8649186652663531,0.9787612866792058,1.827210385746824,0.42184148894292367,-0.42459945258582266,1.7551046328212005,-0.9639603730060449,0.350734,0.235493083,0.235,0.008,0.1,87.9,47.3,0.14,0.11,0.11,0.1,26692.0,82.2,-0.03,65157,0.281178,0.42268,0.1,78,29,5,31,0.11,29,0.1,52349,4.718908389956982,0.2854083333,45651,0.3855105,50804,0.09,0.11,,
"Ireland",70,0.7196197638009643,0.7347041391631011,0.1616634035750059,-0.5711623111835024,-1.7404251853219466,0.2046337536119131,0.18814696601478914,0.6529762736435282,2.000527917443023,0.7131093370351637,1.094824111792003,-0.48745723407692043,0.330553,0.118526121,0.012,-0.565,0.24,71.2,76.8,0.24,0.19,0.37,0.23,29060.0,73.0,0.03,126837,0.205315,0.299238,0.07,65,35,68,28,0.3,31,-0.04,83746,4.922964072790509,0.217994,54825,0.2900525,71006,0.17,0.21,,
"Latvia",70,0.7196197638009643,-0.17030261762924906,-0.10526786762007577,0.9494143133831779,-0.2609598750818931,-0.4829356585241152,-1.1611050183526284,-0.8148163664855912,-0.6993341005304404,1.311903436835683,-1.5462979723247876,-0.6462916137199619,0.158,0.073694309,0.957,-0.064,0.15,42.7,54.0,0.28,0.17,0.16,0.1,10258.0,61.5,0.01,39825,0.329935,0.380583,0.05,13,63,9,44,0.4,35,-0.01,30051,4.477858928493696,0.301104,19768,0.348575,27737,0.19,0.2,,
"Norway",69,0.6661345110860277,-1.387097269567061,-1.2495842814364118,-0.48105406676473617,0.5570279311785756,-0.3301424558272199,,,1.0426664509676624,-0.843755322446186,,-0.7257088035414827,-0.074,-0.118496655,0.068,0.213,0.17,,,0.19,0.18,0.16,0.19,39206.0,,0.0,114929,0.210334,0.215247,-0.02,,,,,0.04,27,0.04,64696,4.810877430102559,0.2329553333,61275,0.21565,63767,0.14,0.12,,
"Switzerland",68,0.6126492583710912,0.28111770863061075,0.010396517698152077,1.2004301371211696,-0.07491932708763485,-0.712125462569458,,,1.2907048034150617,-0.5443582725459265,,,0.24407,0.093120448,1.113,-0.001,0.12,,,0.11,0.08,0.29,0.09,45405.0,,,84649,0.242069,0.282414,0.05,,,,,0.09,33,0.0,69629,4.842790157955983,0.2237703333,62610,0.278386,68280,0.18,0.2,,
"Germany",67,0.5591640056561547,0.9111813221303575,0.9193399374863032,-0.4971448246966587,-0.2757249979385803,-0.712125462569458,0.7420504122287818,0.3721811598796963,0.47624600898105174,-0.18508181266561502,-0.174946120956454,-1.1227947526490865,0.364201,0.245779896,0.058,-0.069,0.12,82.9,74.5,0.1,0.09,0.24,0.11,25000.0,70.8,-0.05,63522,0.158937,0.208975,0.05,40,65,66,35,0.15,31,0.03,53431,4.727793302395854,0.1459296667,45365,0.1990775,52138,0.11,0.15,,
